РВСВ_1,РВСН_1,РВЛВ_0,РВЛВ_1,РВЛВ_3,РВЛВ_4,РВЛВ_6,РВЛВ_7,РВЛВ_9,РВЛВ_10,РВЛВ_12,РВЛН_0,РВЛН_1,РВЛН_2,РВЛН_3,РВЛН_4,РВЛН_5,РВЛН_6,РВЛН_7,РВЛН_8,РВЛН_9,РВЛН_10,РВЛН_12
547.8831,1096.9,537.9284,537.9284,537.9284,537.9284,537.9284,537.9284,537.9284,537.9284,537.9284,1126.89,1126.89,627.8982,1126.89,1126.89,627.8982,1126.89,1126.89,627.8982,1126.89,1126.89,1126.89
547.8831,1096.9,537.9284,537.9284,537.9284,537.9284,537.9284,537.9284,537.9284,537.9284,537.9284,1126.89,1126.89,627.8982,1126.89,1126.89,627.8982,1126.89,1126.89,627.8982,1126.89,1126.89,1126.89
547.8831,1095.892,537.9284,537.9284,537.9284,537.9284,537.9284,537.9284,537.9284,537.9284,537.9284,1125.882,1125.882,627.8982,1125.882,1125.882,627.8982,1125.882,1125.882,627.8982,1125.882,1125.882,1125.882
547.8831,1096.9,537.9284,537.9284,537.9284,537.9284,537.9284,537.9284,537.9284,537.9284,537.9284,1126.89,1126.89,627.8982,1126.89,1126.89,627.8982,1126.89,1126.89,627.8982,1126.89,1126.89,1126.89
547.8831,1096.9,537.9284,537.9284,537.9284,537.9284,537.9284,537.9284,537.9284,537.9284,537.9284,1126.89,1126.89,627.8982,1126.89,1126.89,627.8982,1126.89,1126.89,627.8982,1126.89,1126.89,1126.89
547.8831,1096.9,537.9284,537.9284,537.9284,537.9284,537.9284,537.9284,537.9284,537.9284,537.9284,1126.89,1126.89,627.8982,1126.89,1126.89,627.8982,1126.89,1126.89,627.8982,1126.89,1126.89,1126.89
547.8831,1095.892,537.9284,537.9284,537.9284,537.9284,537.9284,537.9284,537.9284,537.9284,537.9284,1125.0,1125.0,627.8982,1125.0,1125.0,627.8982,1125.0,1125.0,627.8982,1125.0,1125.0,1125.0
599.9244,1199.975,579.8891,579.8891,579.8891,579.8891,579.8891,579.8891,579.8891,579.8891,579.8891,1384.955,1384.955,774.9496,1384.955,1384.955,774.9496,1384.955,1384.955,774.9496,1384.955,1384.955,1384.955
599.9244,1200.983,579.8891,579.8891,579.8891,579.8891,579.8891,579.8891,579.8891,579.8891,579.8891,1385.963,1385.963,774.9496,1385.963,1385.963,774.9496,1385.963,1385.963,774.9496,1385.963,1385.963,1385.963
598.9163,1198.967,578.881,578.881,578.881,578.881,578.881,578.881,578.881,578.881,578.881,1383.947,1383.947,773.9415,1383.947,1383.947,773.9415,1383.947,1383.947,773.9415,1383.947,1383.947,1383.947
598.9163,1198.967,578.881,578.881,578.881,578.881,578.881,578.881,578.881,578.881,578.881,1383.947,1383.947,773.9415,1383.947,1383.947,773.9415,1383.947,1383.947,773.9415,1383.947,1383.947,1383.947
612.9032,1226.941,504.9143,504.9143,504.9143,504.9143,504.9143,504.9143,504.9143,504.9143,504.9143,1290.953,1290.953,675.9072,1290.953,1290.953,675.9072,1290.953,1290.953,675.9072,1290.953,1290.953,1290.953
612.9032,1226.941,504.9143,504.9143,504.9143,504.9143,504.9143,504.9143,504.9143,504.9143,504.9143,1290.953,1290.953,675.9072,1290.953,1290.953,675.9072,1290.953,1290.953,675.9072,1290.953,1290.953,1290.953
612.9032,1225.932,503.9063,503.9063,503.9063,503.9063,503.9063,503.9063,503.9063,503.9063,503.9063,1289.945,1289.945,674.8992,1289.945,1289.945,674.8992,1289.945,1289.945,674.8992,1289.945,1289.945,1289.945
612.9032,1225.932,503.9063,503.9063,503.9063,503.9063,503.9063,503.9063,503.9063,503.9063,503.9063,1289.945,1289.945,674.8992,1289.945,1289.945,674.8992,1289.945,1289.945,674.8992,1289.945,1289.945,1289.945
596.9002,1194.934,576.9909,576.9909,576.9909,576.9909,576.9909,576.9909,576.9909,576.9909,576.9909,1378.906,1378.906,771.9254,1378.906,1378.906,771.9254,1378.906,1378.906,771.9254,1378.906,1378.906,1378.906
596.9002,1194.934,576.9909,576.9909,576.9909,576.9909,576.9909,576.9909,576.9909,576.9909,576.9909,1378.906,1378.906,771.9254,1378.906,1378.906,771.9254,1378.906,1378.906,771.9254,1378.906,1378.906,1378.906
609.879,1220.892,502.8982,502.8982,502.8982,502.8982,502.8982,502.8982,502.8982,502.8982,502.8982,1284.904,1284.904,672.8831,1284.904,1284.904,672.8831,1284.904,1284.904,672.8831,1284.904,1284.904,1284.904
609.879,1219.884,501.8901,501.8901,501.8901,501.8901,501.8901,501.8901,501.8901,501.8901,501.8901,1283.896,1283.896,672.8831,1283.896,1283.896,672.8831,1283.896,1283.896,672.8831,1283.896,1283.896,1283.896
608.9969,1217.994,506.9305,506.9305,506.9305,506.9305,506.9305,506.9305,506.9305,506.9305,506.9305,1292.969,1292.969,681.9556,1292.969,1292.969,681.9556,1292.969,1292.969,681.9556,1292.969,1292.969,1292.969
611.8951,1223.916,503.9063,503.9063,503.9063,503.9063,503.9063,503.9063,503.9063,503.9063,503.9063,1287.928,1287.928,673.8911,1287.928,1287.928,673.8911,1287.928,1287.928,673.8911,1287.928,1287.928,1287.928
599.9244,1199.975,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,1279.99,1279.99,679.9395,1279.99,1279.99,679.9395,1279.99,1279.99,679.9395,1279.99,1279.99,1279.99
597.9083,1195.943,627.8982,627.8982,627.8982,627.8982,627.8982,627.8982,627.8982,627.8982,627.8982,1345.892,1345.892,737.9032,1345.892,1345.892,737.9032,1345.892,1345.892,737.9032,1345.892,1345.892,1345.892
597.9083,1196.951,627.8982,627.8982,627.8982,627.8982,627.8982,627.8982,627.8982,627.8982,627.8982,1346.9,1346.9,738.9113,1346.9,1346.9,738.9113,1346.9,1346.9,738.9113,1346.9,1346.9,1346.9
597.9083,1195.943,627.8982,627.8982,627.8982,627.8982,627.8982,627.8982,627.8982,627.8982,627.8982,1345.892,1345.892,737.9032,1345.892,1345.892,737.9032,1345.892,1345.892,737.9032,1345.892,1345.892,1345.892
597.9083,1195.943,627.8982,627.8982,627.8982,627.8982,627.8982,627.8982,627.8982,627.8982,627.8982,1345.892,1345.892,737.9032,1345.892,1345.892,737.9032,1345.892,1345.892,737.9032,1345.892,1345.892,1345.892
601.9405,1203.881,601.9405,601.9405,601.9405,601.9405,601.9405,601.9405,601.9405,601.9405,601.9405,1379.914,1379.914,766.8851,1379.914,1379.914,766.8851,1379.914,1379.914,766.8851,1379.914,1379.914,1379.914
601.9405,1204.889,601.9405,601.9405,601.9405,601.9405,601.9405,601.9405,601.9405,601.9405,601.9405,1380.922,1380.922,766.8851,1380.922,1380.922,766.8851,1380.922,1380.922,766.8851,1380.922,1380.922,1380.922
597.9083,1196.951,473.9163,473.9163,473.9163,473.9163,473.9163,473.9163,473.9163,473.9163,473.9163,1321.951,1321.951,723.9163,1321.951,1321.951,723.9163,1321.951,1321.951,723.9163,1321.951,1321.951,1321.951
