group_of_standard,Углерод,Кремний,Марганец,Сера,Фосфор,Хром,Никель,Медь,Алюминий,Титан,Ванадий,Ниобий,Молибден,Бор,Кальций,Цинк,Олово,Мышьяк,Железо,Азот,C_EKV,K_SVAR,номер раската
0,0.0756,0.2569,1.7408,0.002,0.0085,0.0374,0.1612,0.1242,0.0318,0.0184,0.0036,0.0565,0.0041,0.0005,0.00143,0.0017,0.0036,0.0033,97.4492,0.004,0.4,0.19,17
0,0.07,0.26,1.74,0.002,0.012,0.05,0.18,0.13,0.037,0.022,0.004,0.049,0.003,0.0005,0.001,0.0015,0.0033,0.003,97.4144,0.004,0.39,0.18,5
0,0.07,0.26,1.74,0.002,0.012,0.05,0.18,0.13,0.037,0.022,0.004,0.049,0.003,0.0005,0.001,0.0015,0.0033,0.003,97.4144,0.004,0.39,0.18,11
0,0.07,0.25,1.73,0.003,0.009,0.05,0.18,0.13,0.034,0.021,0.004,0.05,0.005,0.0005,0.002,0.001,0.0032,0.0026,97.3714,0.005,0.39,0.18,6
0,0.07,0.25,1.73,0.003,0.009,0.05,0.18,0.13,0.034,0.021,0.004,0.05,0.005,0.0005,0.002,0.001,0.0032,0.0026,97.3714,0.005,0.39,0.18,5
0,0.07,0.27,1.74,0.002,0.008,0.04,0.16,0.13,0.037,0.018,0.004,0.049,0.004,0.0005,0.002,0.0014,0.003,0.0028,97.3847,0.004,0.39,0.18,4
0,0.07,0.27,1.74,0.002,0.008,0.04,0.16,0.13,0.037,0.018,0.004,0.049,0.004,0.0005,0.002,0.0014,0.003,0.0028,97.3847,0.004,0.39,0.18,9
0,0.07,0.24,1.72,0.003,0.009,0.05,0.16,0.13,0.036,0.022,0.004,0.048,0.004,0.0005,0.002,0.0013,0.0032,0.0031,97.4269,0.004,0.39,0.18,3
0,0.07,0.25,1.72,0.002,0.01,0.04,0.18,0.13,0.037,0.018,0.003,0.052,0.004,0.0005,0.001,0.0008,0.0033,0.0014,97.4128,0.004,0.39,0.18,10
0,0.07,0.25,1.72,0.002,0.01,0.04,0.18,0.13,0.037,0.018,0.003,0.052,0.004,0.0005,0.001,0.0008,0.0033,0.0014,97.4128,0.004,0.39,0.18,3
3,0.07,0.25,1.72,0.003,0.006,0.03,0.18,0.14,0.033,0.022,0.003,0.05,0.003,0.0003,0.002,0.0007,0.0038,0.0025,97.4635,0.005,0.39,0.18,8
3,0.07,0.25,1.72,0.003,0.006,0.03,0.18,0.14,0.033,0.022,0.003,0.05,0.003,0.0003,0.002,0.0007,0.0038,0.0025,97.4635,0.005,0.39,0.18,3
3,0.07,0.25,1.71,0.002,0.009,0.03,0.17,0.14,0.041,0.026,0.001,0.05,0.002,0.0005,0.001,0.0009,0.0033,0.0033,97.4354,0.004,0.38,0.18,17
3,0.07,0.25,1.71,0.002,0.009,0.03,0.17,0.14,0.041,0.026,0.001,0.05,0.002,0.0005,0.001,0.0009,0.0033,0.0033,97.4354,0.004,0.38,0.18,16
3,0.07,0.24,1.74,0.001,0.008,0.03,0.18,0.14,0.032,0.018,0.004,0.049,0.003,0.0003,0.001,0.0006,0.0036,0.0029,97.4523,0.004,0.39,0.18,16
3,0.07,0.24,1.74,0.001,0.008,0.03,0.18,0.14,0.032,0.018,0.004,0.049,0.003,0.0003,0.001,0.0006,0.0036,0.0029,97.4523,0.004,0.39,0.18,8
3,0.07,0.25,1.75,0.002,0.008,0.03,0.17,0.13,0.045,0.02,0.003,0.047,0.004,0.0003,0.002,0.0012,0.0037,0.0031,97.4333,0.005,0.39,0.18,14
3,0.07,0.25,1.75,0.002,0.008,0.03,0.17,0.13,0.045,0.02,0.003,0.047,0.004,0.0003,0.002,0.0012,0.0037,0.0031,97.4333,0.005,0.39,0.18,6
3,0.07,0.27,1.73,0.002,0.009,0.05,0.18,0.15,0.039,0.018,0.004,0.047,0.005,0.0003,0.001,0.0005,0.0046,0.003,97.4052,0.004,0.39,0.18,14
3,0.07,0.27,1.73,0.002,0.009,0.05,0.18,0.15,0.039,0.018,0.004,0.047,0.005,0.0003,0.001,0.0005,0.0046,0.003,97.4052,0.004,0.39,0.18,6
3,0.08,0.28,1.72,0.002,0.007,0.02,0.18,0.14,0.039,0.024,0.003,0.049,0.002,0.0004,0.002,0.001,0.0029,0.0035,97.3584,0.004,0.39,0.19,8
3,0.08,0.28,1.72,0.002,0.007,0.02,0.18,0.14,0.039,0.024,0.003,0.049,0.002,0.0004,0.002,0.001,0.0029,0.0035,97.3584,0.004,0.39,0.19,9
3,0.07,0.24,1.72,0.003,0.01,0.04,0.16,0.15,0.036,0.017,0.003,0.046,0.004,0.0004,0.002,0.0011,0.0045,0.0045,97.4191,0.004,0.39,0.18,2
3,0.07,0.24,1.72,0.003,0.01,0.04,0.16,0.15,0.036,0.017,0.003,0.046,0.004,0.0004,0.002,0.0011,0.0045,0.0045,97.4191,0.004,0.39,0.18,7
3,0.08,0.26,1.72,0.002,0.008,0.05,0.18,0.15,0.037,0.019,0.003,0.048,0.005,0.0004,0.002,0.0008,0.0049,0.003,97.4242,0.004,0.4,0.19,9
3,0.08,0.26,1.72,0.002,0.008,0.05,0.18,0.15,0.037,0.019,0.003,0.048,0.005,0.0004,0.002,0.0008,0.0049,0.003,97.4242,0.004,0.4,0.19,6
0,0.07,0.24,1.74,0.003,0.01,0.04,0.16,0.13,0.033,0.024,0.004,0.05,0.003,0.0005,0.001,0.0015,0.002,0.0034,97.426,0.005,0.39,0.18,12
0,0.07,0.24,1.74,0.003,0.01,0.04,0.16,0.13,0.033,0.024,0.004,0.05,0.003,0.0005,0.001,0.0015,0.002,0.0034,97.426,0.005,0.39,0.18,10
0,0.08,0.25,1.72,0.002,0.01,0.05,0.17,0.11,0.033,0.025,0.007,0.056,0.008,0.0004,0.003,0.0003,0.003,0.0028,97.4456,0.004,0.4,0.19,4
0,0.08,0.27,1.73,0.002,0.009,0.04,0.17,0.14,0.032,0.02,0.004,0.052,0.003,0.0005,0.001,0.0014,0.0034,0.0036,97.4224,0.006,0.4,0.19,4
0,0.08,0.27,1.73,0.002,0.009,0.04,0.17,0.14,0.032,0.02,0.004,0.052,0.003,0.0005,0.001,0.0014,0.0034,0.0036,97.4224,0.006,0.4,0.19,14
0,0.08,0.23,1.74,0.002,0.008,0.04,0.17,0.12,0.031,0.02,0.004,0.049,0.005,0.0004,0.001,0.0018,0.0029,0.0024,97.4705,0.007,0.4,0.19,6
0,0.08,0.23,1.74,0.002,0.008,0.04,0.17,0.12,0.031,0.02,0.004,0.049,0.005,0.0004,0.001,0.0018,0.0029,0.0024,97.4705,0.007,0.4,0.19,14
0,0.0781,0.2534,1.7201,0.002,0.0075,0.0292,0.1769,0.142,0.031,0.0198,0.0044,0.0506,0.0035,0.0005,0.00181,0.0009,0.0038,0.0041,97.4502,0.0044,0.4,0.19,12
0,0.0781,0.2534,1.7201,0.002,0.0075,0.0292,0.1769,0.142,0.031,0.0198,0.0044,0.0506,0.0035,0.0005,0.00181,0.0009,0.0038,0.0041,97.4502,0.0044,0.4,0.19,10
0,0.08,0.26,1.75,0.003,0.013,0.05,0.19,0.15,0.042,0.023,0.005,0.05,0.008,0.0005,0.001,0.0016,0.0032,0.0023,97.3072,0.004,0.41,0.19,6
0,0.08,0.26,1.75,0.003,0.013,0.05,0.19,0.15,0.042,0.023,0.005,0.05,0.008,0.0005,0.001,0.0016,0.0032,0.0023,97.3072,0.004,0.41,0.19,7
0,0.0765,0.2428,1.7315,0.0019,0.0086,0.0411,0.192,0.1523,0.0359,0.0205,0.0027,0.0519,0.004,0.0005,0.0026,0.001,0.0034,0.0034,97.3521,0.0044,0.4,0.19,14
0,0.0765,0.2428,1.7315,0.0019,0.0086,0.0411,0.192,0.1523,0.0359,0.0205,0.0027,0.0519,0.004,0.0005,0.0026,0.001,0.0034,0.0034,97.3521,0.0044,0.4,0.19,12
0,0.08,0.24,1.73,0.002,0.008,0.03,0.18,0.15,0.036,0.019,0.004,0.053,0.003,0.0005,0.001,0.0027,0.004,0.0034,97.4462,0.005,0.4,0.19,7
0,0.08,0.24,1.73,0.002,0.008,0.03,0.18,0.15,0.036,0.019,0.004,0.053,0.003,0.0005,0.001,0.0027,0.004,0.0034,97.4462,0.005,0.4,0.19,14
0,0.08,0.31,1.72,0.003,0.009,0.03,0.19,0.13,0.032,0.021,0.004,0.05,0.003,0.0005,0.002,0.0007,0.0029,0.0022,97.3944,0.005,0.4,0.19,3
0,0.08,0.31,1.72,0.003,0.009,0.03,0.19,0.13,0.032,0.021,0.004,0.05,0.003,0.0005,0.002,0.0007,0.0029,0.0022,97.3944,0.005,0.4,0.19,2
0,0.07,0.27,1.73,0.002,0.009,0.05,0.18,0.18,0.039,0.021,0.004,0.053,0.004,0.0005,0.001,0.0026,0.0042,0.0044,97.3575,0.005,0.39,0.18,10
0,0.07,0.27,1.73,0.002,0.009,0.05,0.18,0.18,0.039,0.021,0.004,0.053,0.004,0.0005,0.001,0.0026,0.0042,0.0044,97.3575,0.005,0.39,0.18,16
0,0.08,0.29,1.7,0.002,0.01,0.04,0.16,0.13,0.036,0.02,0.005,0.054,0.002,0.0005,0.001,0.0016,0.0032,0.0031,97.4457,0.004,0.39,0.19,4
0,0.08,0.29,1.7,0.002,0.01,0.04,0.16,0.13,0.036,0.02,0.005,0.054,0.002,0.0005,0.001,0.0016,0.0032,0.0031,97.4457,0.004,0.39,0.19,9
0,0.08,0.26,1.74,0.002,0.011,0.04,0.16,0.14,0.037,0.021,0.006,0.051,0.003,0.0005,0.002,0.0015,0.0035,0.0034,97.4201,0.005,0.4,0.19,4
0,0.08,0.26,1.74,0.002,0.011,0.04,0.16,0.14,0.037,0.021,0.006,0.051,0.003,0.0005,0.002,0.0015,0.0035,0.0034,97.4201,0.005,0.4,0.19,3
0,0.0733,0.2798,1.733,0.002,0.0067,0.0412,0.1994,0.1379,0.0372,0.0216,0.0031,0.0535,0.0046,0.0005,0.0017,0.0016,0.0033,0.003,97.3768,0.0051,0.39,0.18,4
0,0.0733,0.2798,1.733,0.002,0.0067,0.0412,0.1994,0.1379,0.0372,0.0216,0.0031,0.0535,0.0046,0.0005,0.0017,0.0016,0.0033,0.003,97.3768,0.0051,0.39,0.18,6
0,0.08,0.22,1.7,0.003,0.008,0.04,0.18,0.15,0.034,0.021,0.005,0.048,0.004,0.0005,0.002,0.0016,0.0048,0.0032,97.4583,0.005,0.4,0.19,13
0,0.08,0.22,1.7,0.003,0.008,0.04,0.18,0.15,0.034,0.021,0.005,0.048,0.004,0.0005,0.002,0.0016,0.0048,0.0032,97.4583,0.005,0.4,0.19,12
0,0.08,0.28,1.74,0.002,0.01,0.04,0.19,0.21,0.036,0.021,0.005,0.049,0.004,0.0005,0.002,0.0018,0.003,0.0027,97.305,0.005,0.41,0.2,8
0,0.08,0.28,1.74,0.002,0.01,0.04,0.19,0.21,0.036,0.021,0.005,0.049,0.004,0.0005,0.002,0.0018,0.003,0.0027,97.305,0.005,0.41,0.2,2
0,0.07,0.26,1.72,0.002,0.012,0.05,0.17,0.14,0.038,0.021,0.005,0.051,0.003,0.0005,0.002,0.0022,0.0038,0.0039,97.4263,0.005,0.39,0.18,15
0,0.07,0.26,1.72,0.002,0.012,0.05,0.17,0.14,0.038,0.021,0.005,0.051,0.003,0.0005,0.002,0.0022,0.0038,0.0039,97.4263,0.005,0.39,0.18,2
0,0.07,0.26,1.74,0.003,0.008,0.05,0.2,0.15,0.036,0.022,0.003,0.055,0.004,0.0004,0.002,0.0014,0.004,0.0041,97.3806,0.005,0.39,0.18,16
0,0.07,0.26,1.74,0.003,0.008,0.05,0.2,0.15,0.036,0.022,0.003,0.055,0.004,0.0004,0.002,0.0014,0.004,0.0041,97.3806,0.005,0.39,0.18,4
0,0.07,0.26,1.73,0.002,0.008,0.04,0.2,0.15,0.036,0.02,0.003,0.05,0.003,0.0004,0.002,0.0019,0.0029,0.0031,97.3987,0.005,0.39,0.18,16
0,0.07,0.26,1.73,0.002,0.008,0.04,0.2,0.15,0.036,0.02,0.003,0.05,0.003,0.0004,0.002,0.0019,0.0029,0.0031,97.3987,0.005,0.39,0.18,9
0,0.07,0.26,1.73,0.001,0.008,0.03,0.2,0.14,0.032,0.02,0.003,0.051,0.002,0.0005,0.002,0.0017,0.0027,0.0025,97.4332,0.005,0.39,0.18,16
0,0.07,0.26,1.73,0.001,0.008,0.03,0.2,0.14,0.032,0.02,0.003,0.051,0.002,0.0005,0.002,0.0017,0.0027,0.0025,97.4332,0.005,0.39,0.18,14
0,0.08,0.24,1.73,0.002,0.011,0.04,0.18,0.14,0.037,0.021,0.005,0.049,0.003,0.0005,0.002,0.0023,0.0034,0.0044,97.453,0.005,0.4,0.19,13
0,0.08,0.24,1.73,0.002,0.011,0.04,0.18,0.14,0.037,0.021,0.005,0.049,0.003,0.0005,0.002,0.0023,0.0034,0.0044,97.453,0.005,0.4,0.19,15
0,0.07,0.25,1.73,0.001,0.009,0.03,0.2,0.14,0.034,0.022,0.005,0.051,0.003,0.0004,0.002,0.0022,0.0028,0.0027,97.4165,0.006,0.39,0.18,13
0,0.07,0.25,1.73,0.001,0.009,0.03,0.2,0.14,0.034,0.022,0.005,0.051,0.003,0.0004,0.002,0.0022,0.0028,0.0027,97.4165,0.006,0.39,0.18,2
0,0.07,0.25,1.73,0.001,0.009,0.03,0.2,0.14,0.034,0.022,0.005,0.051,0.003,0.0004,0.002,0.0022,0.0028,0.0027,97.4165,0.006,0.39,0.18,5
0,0.07,0.25,1.73,0.001,0.009,0.03,0.2,0.14,0.034,0.022,0.005,0.051,0.003,0.0004,0.002,0.0022,0.0028,0.0027,97.4165,0.006,0.39,0.18,3
0,0.07,0.25,1.73,0.001,0.009,0.03,0.2,0.14,0.034,0.022,0.005,0.051,0.003,0.0004,0.002,0.0022,0.0028,0.0027,97.4165,0.006,0.39,0.18,11
0,0.07,0.25,1.73,0.001,0.009,0.03,0.2,0.14,0.034,0.022,0.005,0.051,0.003,0.0004,0.002,0.0022,0.0028,0.0027,97.4165,0.006,0.39,0.18,9
0,0.08,0.2686,1.7481,0.0018,0.0085,0.0392,0.1764,0.1416,0.0436,0.0222,0.0044,0.0534,0.0026,0.0004,0.00062,0.0025,0.0031,0.0032,97.38,0.0052,0.4,0.19,16
0,0.08,0.2686,1.7481,0.0018,0.0085,0.0392,0.1764,0.1416,0.0436,0.0222,0.0044,0.0534,0.0026,0.0004,0.00062,0.0025,0.0031,0.0032,97.38,0.0052,0.4,0.19,2
0,0.07,0.22,1.72,0.002,0.008,0.03,0.16,0.13,0.036,0.021,0.004,0.05,0.003,0.0003,0.002,0.0019,0.003,0.0032,97.5143,0.006,0.38,0.17,14
0,0.07,0.22,1.72,0.002,0.008,0.03,0.16,0.13,0.036,0.021,0.004,0.05,0.003,0.0003,0.002,0.0019,0.003,0.0032,97.5143,0.006,0.38,0.17,1
0,0.0723,0.2234,1.7143,0.0013,0.0039,0.0187,0.159,0.1236,0.0381,0.0225,0.0028,0.0504,0.0019,0.0003,0.00106,0.0021,0.0026,0.0032,97.5387,0.0056,0.38,0.17,16
0,0.0723,0.2234,1.7143,0.0013,0.0039,0.0187,0.159,0.1236,0.0381,0.0225,0.0028,0.0504,0.0019,0.0003,0.00106,0.0021,0.0026,0.0032,97.5387,0.0056,0.38,0.17,8
0,0.06,0.28,1.75,0.002,0.006,0.03,0.17,0.13,0.044,0.02,0.003,0.049,0.004,0.0004,0.002,0.0011,0.0037,0.0031,97.3647,0.005,0.38,0.17,14
0,0.06,0.28,1.75,0.002,0.006,0.03,0.17,0.13,0.044,0.02,0.003,0.049,0.004,0.0004,0.002,0.0011,0.0037,0.0031,97.3647,0.005,0.38,0.17,16
0,0.06,0.22,1.73,0.003,0.008,0.04,0.17,0.16,0.044,0.021,0.005,0.05,0.004,0.0004,0.001,0.0009,0.0045,0.0045,97.4007,0.005,0.38,0.17,4
0,0.06,0.22,1.73,0.003,0.008,0.04,0.17,0.16,0.044,0.021,0.005,0.05,0.004,0.0004,0.001,0.0009,0.0045,0.0045,97.4007,0.005,0.38,0.17,6
0,0.07,0.24,1.73,0.001,0.007,0.04,0.18,0.16,0.038,0.021,0.004,0.049,0.005,0.0003,0.001,0.0021,0.0037,0.0036,97.431,0.005,0.39,0.18,2
0,0.07,0.24,1.73,0.001,0.007,0.04,0.18,0.16,0.038,0.021,0.004,0.049,0.005,0.0003,0.001,0.0021,0.0037,0.0036,97.431,0.005,0.39,0.18,3
0,0.07,0.26,1.72,0.002,0.006,0.03,0.17,0.14,0.045,0.024,0.002,0.051,0.004,0.0004,0.002,0.0009,0.0032,0.0034,97.4176,0.004,0.38,0.18,8
0,0.07,0.26,1.72,0.002,0.006,0.03,0.17,0.14,0.045,0.024,0.002,0.051,0.004,0.0004,0.002,0.0009,0.0032,0.0034,97.4176,0.004,0.38,0.18,3
0,0.08,0.26,1.74,0.002,0.006,0.03,0.17,0.16,0.03,0.018,0.004,0.052,0.003,0.0003,0.001,0.0014,0.0033,0.0029,97.4187,0.006,0.4,0.19,3
0,0.08,0.26,1.74,0.002,0.006,0.03,0.17,0.16,0.03,0.018,0.004,0.052,0.003,0.0003,0.001,0.0014,0.0033,0.0029,97.4187,0.006,0.4,0.19,4
0,0.07,0.23,1.74,0.002,0.007,0.05,0.18,0.13,0.036,0.021,0.004,0.05,0.005,0.0004,0.001,0.0005,0.004,0.0032,97.3869,0.006,0.39,0.18,15
0,0.07,0.23,1.74,0.002,0.007,0.05,0.18,0.13,0.036,0.021,0.004,0.05,0.005,0.0004,0.001,0.0005,0.004,0.0032,97.3869,0.006,0.39,0.18,5
0,0.07,0.25,1.77,0.002,0.006,0.02,0.17,0.2,0.041,0.019,0.003,0.051,0.003,0.0004,0.001,0.001,0.0034,0.0033,97.307,0.006,0.39,0.18,17
0,0.07,0.25,1.77,0.002,0.006,0.02,0.17,0.2,0.041,0.019,0.003,0.051,0.003,0.0004,0.001,0.001,0.0034,0.0033,97.307,0.006,0.39,0.18,13
0,0.07,0.25,1.77,0.002,0.006,0.02,0.17,0.2,0.041,0.019,0.003,0.051,0.003,0.0004,0.001,0.001,0.0034,0.0033,97.307,0.006,0.39,0.18,7
0,0.06,0.26,1.72,0.002,0.007,0.02,0.16,0.14,0.036,0.02,0.003,0.05,0.003,0.0004,0.002,0.0011,0.0031,0.0032,97.4365,0.006,0.37,0.17,8
0,0.06,0.26,1.72,0.002,0.007,0.02,0.16,0.14,0.036,0.02,0.003,0.05,0.003,0.0004,0.002,0.0011,0.0031,0.0032,97.4365,0.006,0.37,0.17,15
0,0.07,0.24,1.79,0.002,0.007,0.04,0.17,0.17,0.034,0.018,0.004,0.05,0.004,0.0004,0.002,0.001,0.0046,0.004,97.3084,0.006,0.4,0.18,8
0,0.07,0.24,1.79,0.002,0.007,0.04,0.17,0.17,0.034,0.018,0.004,0.05,0.004,0.0004,0.002,0.001,0.0046,0.004,97.3084,0.006,0.4,0.18,12
0,0.07,0.23,1.72,0.002,0.007,0.04,0.17,0.13,0.027,0.017,0.004,0.05,0.004,0.0004,0.002,0.0012,0.0039,0.0041,97.4513,0.005,0.39,0.18,5
0,0.07,0.23,1.72,0.002,0.007,0.04,0.17,0.13,0.027,0.017,0.004,0.05,0.004,0.0004,0.002,0.0012,0.0039,0.0041,97.4513,0.005,0.39,0.18,13
0,0.07,0.25,1.75,0.002,0.006,0.03,0.17,0.18,0.04,0.018,0.003,0.049,0.003,0.0004,0.001,0.0006,0.0037,0.0033,97.3439,0.004,0.39,0.18,13
0,0.07,0.25,1.75,0.002,0.006,0.03,0.17,0.18,0.04,0.018,0.003,0.049,0.003,0.0004,0.001,0.0006,0.0037,0.0033,97.3439,0.004,0.39,0.18,3
0,0.06,0.24,1.74,0.002,0.006,0.04,0.16,0.11,0.045,0.02,0.004,0.047,0.003,0.0003,0.001,0.0019,0.0036,0.0037,97.4917,0.005,0.38,0.17,2
0,0.06,0.24,1.74,0.002,0.006,0.04,0.16,0.11,0.045,0.02,0.004,0.047,0.003,0.0003,0.001,0.0019,0.0036,0.0037,97.4917,0.005,0.38,0.17,5
0,0.07,0.26,1.74,0.002,0.009,0.05,0.18,0.14,0.036,0.02,0.004,0.052,0.004,0.0004,0.002,0.0017,0.0044,0.0034,97.4055,0.006,0.39,0.18,15
0,0.07,0.26,1.74,0.002,0.009,0.05,0.18,0.14,0.036,0.02,0.004,0.052,0.004,0.0004,0.002,0.0017,0.0044,0.0034,97.4055,0.006,0.39,0.18,4
0,0.07,0.26,1.72,0.002,0.007,0.03,0.19,0.12,0.045,0.024,0.003,0.053,0.003,0.0005,0.002,0.0013,0.003,0.0031,97.4073,0.005,0.38,0.18,1
0,0.07,0.26,1.72,0.002,0.007,0.03,0.19,0.12,0.045,0.024,0.003,0.053,0.003,0.0005,0.002,0.0013,0.003,0.0031,97.4073,0.005,0.38,0.18,3
0,0.07,0.24,1.7,0.003,0.009,0.06,0.17,0.15,0.037,0.02,0.004,0.048,0.007,0.0005,0.003,0.0013,0.0041,0.0042,97.445,0.006,0.39,0.18,15
0,0.07,0.24,1.7,0.003,0.009,0.06,0.17,0.15,0.037,0.02,0.004,0.048,0.007,0.0005,0.003,0.0013,0.0041,0.0042,97.445,0.006,0.39,0.18,10
0,0.07,0.24,1.7,0.003,0.009,0.06,0.17,0.15,0.037,0.02,0.004,0.048,0.007,0.0005,0.003,0.0013,0.0041,0.0042,97.445,0.006,0.39,0.18,10
0,0.07,0.24,1.7,0.003,0.009,0.06,0.17,0.15,0.037,0.02,0.004,0.048,0.007,0.0005,0.003,0.0013,0.0041,0.0042,97.445,0.006,0.39,0.18,14
0,0.07,0.24,1.7,0.003,0.009,0.06,0.17,0.15,0.037,0.02,0.004,0.048,0.007,0.0005,0.003,0.0013,0.0041,0.0042,97.445,0.006,0.39,0.18,14
0,0.07,0.24,1.7,0.003,0.009,0.06,0.17,0.15,0.037,0.02,0.004,0.048,0.007,0.0005,0.003,0.0013,0.0041,0.0042,97.445,0.006,0.39,0.18,13
0,0.07,0.24,1.7,0.003,0.009,0.06,0.17,0.15,0.037,0.02,0.004,0.048,0.007,0.0005,0.003,0.0013,0.0041,0.0042,97.445,0.006,0.39,0.18,13
0,0.07,0.3,1.73,0.002,0.007,0.04,0.17,0.13,0.041,0.025,0.002,0.056,0.004,0.0005,0.001,0.0007,0.0034,0.0023,97.3544,0.005,0.39,0.18,14
0,0.07,0.3,1.73,0.002,0.007,0.04,0.17,0.13,0.041,0.025,0.002,0.056,0.004,0.0005,0.001,0.0007,0.0034,0.0023,97.3544,0.005,0.39,0.18,10
0,0.07,0.23,1.72,0.003,0.008,0.04,0.18,0.19,0.038,0.02,0.005,0.051,0.005,0.0005,0.002,0.0011,0.0048,0.0031,97.348,0.005,0.39,0.18,9
0,0.07,0.23,1.72,0.003,0.008,0.04,0.18,0.19,0.038,0.02,0.005,0.051,0.005,0.0005,0.002,0.0011,0.0048,0.0031,97.348,0.005,0.39,0.18,7
0,0.07,0.22,1.74,0.003,0.007,0.04,0.17,0.15,0.039,0.02,0.003,0.052,0.005,0.0004,0.002,0.0012,0.0041,0.0038,97.3937,0.006,0.39,0.18,11
0,0.07,0.22,1.74,0.003,0.007,0.04,0.17,0.15,0.039,0.02,0.003,0.052,0.005,0.0004,0.002,0.0012,0.0041,0.0038,97.3937,0.006,0.39,0.18,8
0,0.07,0.24,1.71,0.002,0.009,0.03,0.16,0.14,0.041,0.023,0.004,0.05,0.004,0.0004,0.002,0.0011,0.0042,0.0035,97.4291,0.007,0.38,0.18,6
0,0.07,0.24,1.71,0.002,0.009,0.03,0.16,0.14,0.041,0.023,0.004,0.05,0.004,0.0004,0.002,0.0011,0.0042,0.0035,97.4291,0.007,0.38,0.18,15
0,0.07,0.26,1.72,0.002,0.007,0.03,0.19,0.12,0.045,0.024,0.003,0.053,0.003,0.0005,0.002,0.0013,0.003,0.0031,97.4073,0.005,0.38,0.18,13
0,0.07,0.26,1.72,0.002,0.007,0.03,0.19,0.12,0.045,0.024,0.003,0.053,0.003,0.0005,0.002,0.0013,0.003,0.0031,97.4073,0.005,0.38,0.18,13
0,0.07,0.26,1.72,0.002,0.007,0.03,0.19,0.12,0.045,0.024,0.003,0.053,0.003,0.0005,0.002,0.0013,0.003,0.0031,97.4073,0.005,0.38,0.18,15
0,0.07,0.26,1.72,0.002,0.007,0.03,0.19,0.12,0.045,0.024,0.003,0.053,0.003,0.0005,0.002,0.0013,0.003,0.0031,97.4073,0.005,0.38,0.18,15
0,0.07,0.26,1.72,0.002,0.007,0.03,0.19,0.12,0.045,0.024,0.003,0.053,0.003,0.0005,0.002,0.0013,0.003,0.0031,97.4073,0.005,0.38,0.18,7
0,0.07,0.26,1.72,0.002,0.007,0.03,0.19,0.12,0.045,0.024,0.003,0.053,0.003,0.0005,0.002,0.0013,0.003,0.0031,97.4073,0.005,0.38,0.18,7
0,0.07,0.26,1.72,0.002,0.007,0.03,0.19,0.12,0.045,0.024,0.003,0.053,0.003,0.0005,0.002,0.0013,0.003,0.0031,97.4073,0.005,0.38,0.18,2
0,0.07,0.26,1.72,0.002,0.007,0.03,0.19,0.12,0.045,0.024,0.003,0.053,0.003,0.0005,0.002,0.0013,0.003,0.0031,97.4073,0.005,0.38,0.18,2
0,0.07,0.3,1.73,0.002,0.007,0.04,0.17,0.13,0.041,0.025,0.002,0.056,0.004,0.0005,0.001,0.0007,0.0034,0.0023,97.3544,0.005,0.39,0.18,3
0,0.07,0.3,1.73,0.002,0.007,0.04,0.17,0.13,0.041,0.025,0.002,0.056,0.004,0.0005,0.001,0.0007,0.0034,0.0023,97.3544,0.005,0.39,0.18,12
0,0.08,0.23,1.77,0.002,0.007,0.05,0.2,0.14,0.037,0.023,0.003,0.05,0.003,0.0005,0.002,0.0011,0.0029,0.0013,97.3362,0.004,0.41,0.19,5
0,0.08,0.23,1.77,0.002,0.007,0.05,0.2,0.14,0.037,0.023,0.003,0.05,0.003,0.0005,0.002,0.0011,0.0029,0.0013,97.3362,0.004,0.41,0.19,10
0,0.07,0.24,1.74,0.002,0.01,0.05,0.18,0.14,0.04,0.023,0.004,0.05,0.002,0.0005,0.002,0.0019,0.0029,0.0021,97.3767,0.004,0.39,0.18,8
0,0.07,0.24,1.74,0.002,0.01,0.05,0.18,0.14,0.04,0.023,0.004,0.05,0.002,0.0005,0.002,0.0019,0.0029,0.0021,97.3767,0.004,0.39,0.18,4
0,0.07,0.23,1.72,0.003,0.008,0.04,0.17,0.15,0.038,0.021,0.003,0.052,0.005,0.0004,0.001,0.0014,0.004,0.0035,97.4098,0.008,0.39,0.18,11
0,0.07,0.23,1.72,0.003,0.008,0.04,0.17,0.15,0.038,0.021,0.003,0.052,0.005,0.0004,0.001,0.0014,0.004,0.0035,97.4098,0.008,0.39,0.18,9
0,0.07,0.24,1.71,0.002,0.009,0.05,0.2,0.14,0.043,0.028,0.004,0.052,0.008,0.0004,0.001,0.0011,0.0044,0.0037,97.4177,0.005,0.39,0.18,16
0,0.07,0.24,1.71,0.002,0.009,0.05,0.2,0.14,0.043,0.028,0.004,0.052,0.008,0.0004,0.001,0.0011,0.0044,0.0037,97.4177,0.005,0.39,0.18,10
0,0.07,0.22,1.73,0.002,0.008,0.03,0.16,0.15,0.042,0.021,0.003,0.049,0.003,0.0004,0.001,0.0014,0.003,0.0023,97.4395,0.005,0.39,0.18,11
0,0.07,0.22,1.73,0.002,0.008,0.03,0.16,0.15,0.042,0.021,0.003,0.049,0.003,0.0004,0.001,0.0014,0.003,0.0023,97.4395,0.005,0.39,0.18,3
0,0.08,0.23,1.75,0.003,0.009,0.05,0.18,0.14,0.027,0.021,0.005,0.055,0.004,0.0004,0.002,0.0013,0.0042,0.0031,97.4272,0.005,0.4,0.19,15
