РВСВ_0,РВСВ_1,РВСВ_2,РВСВ_3,РВСН_0,РВСН_1,РВСН_2,РВСН_3,РВЛВ_0,РВЛВ_1,РВЛВ_2,РВЛВ_3,РВЛВ_4,РВЛВ_5,РВЛВ_6,РВЛВ_7,РВЛВ_8,РВЛВ_9,РВЛВ_10,РВЛВ_12,РВЛВ_13,РВЛН_0,РВЛН_1,РВЛН_2,РВЛН_3,РВЛН_4,РВЛН_5,РВЛН_6,РВЛН_7,РВЛН_8,РВЛН_9,РВЛН_10,РВЛН_11,РВЛН_12,РВЛН_13,РВЛН_14
0.0,546.875,0.0,546.875,0.0,1093.876,0.0,1093.876,546.875,546.875,0.0,546.875,546.875,0.0,546.875,546.875,0.0,546.875,546.875,546.875,546.875,1143.901,1143.901,646.9254,1143.901,1143.901,646.9254,1143.901,1143.901,646.9254,1143.901,1143.901,646.9254,1143.901,1143.901,0.0
0.0,545.9929,0.0,545.9929,0.0,1091.986,0.0,1091.986,545.9929,545.9929,0.0,545.9929,545.9929,0.0,545.9929,545.9929,0.0,545.9929,545.9929,545.9929,545.9929,1141.885,1141.885,645.9174,1141.885,1141.885,645.9174,1141.885,1141.885,645.9174,1141.885,1141.885,645.9174,1141.885,1141.885,0.0
0.0,545.9929,0.0,545.9929,0.0,1091.986,0.0,1091.986,545.9929,545.9929,0.0,545.9929,545.9929,0.0,545.9929,545.9929,0.0,545.9929,545.9929,545.9929,545.9929,1141.885,1141.885,645.9174,1141.885,1141.885,645.9174,1141.885,1141.885,645.9174,1141.885,1141.885,645.9174,1141.885,1141.885,0.0
0.0,546.875,0.0,546.875,0.0,1093.876,0.0,1093.876,536.9203,536.9203,0.0,536.9203,536.9203,0.0,536.9203,536.9203,0.0,536.9203,536.9203,536.9203,536.9203,1123.992,1123.992,626.8901,1123.992,1123.992,626.8901,1123.992,1123.992,626.8901,1123.992,1123.992,626.8901,1123.992,1123.992,0.0
0.0,548.8911,0.0,548.8911,0.0,1097.908,0.0,1097.908,538.9365,538.9365,0.0,538.9365,538.9365,0.0,538.9365,538.9365,0.0,538.9365,538.9365,538.9365,538.9365,1126.89,1126.89,628.9063,1126.89,1126.89,628.9063,1126.89,1126.89,628.9063,1126.89,1126.89,628.9063,1126.89,1126.89,0.0
0.0,548.8911,0.0,548.8911,0.0,1097.908,0.0,1097.908,538.9365,538.9365,0.0,538.9365,538.9365,0.0,538.9365,538.9365,0.0,538.9365,538.9365,538.9365,538.9365,1126.89,1126.89,628.9063,1126.89,1126.89,628.9063,1126.89,1126.89,628.9063,1126.89,1126.89,628.9063,1126.89,1126.89,0.0
0.0,545.9929,0.0,545.9929,0.0,1092.994,0.0,1092.994,535.9123,535.9123,0.0,535.9123,535.9123,0.0,535.9123,535.9123,0.0,535.9123,535.9123,535.9123,535.9123,1122.984,1122.984,626.8901,1122.984,1122.984,626.8901,1122.984,1122.984,626.8901,1122.984,1122.984,626.8901,1122.984,1122.984,0.0
0.0,544.9849,0.0,544.9849,0.0,1090.978,0.0,1090.978,534.9042,534.9042,0.0,534.9042,534.9042,0.0,534.9042,534.9042,0.0,534.9042,534.9042,534.9042,534.9042,1120.968,1120.968,625.8821,1120.968,1120.968,625.8821,1120.968,1120.968,625.8821,1120.968,1120.968,625.8821,1120.968,1120.968,0.0
0.0,544.9849,0.0,544.9849,0.0,1089.97,0.0,1089.97,534.9042,534.9042,0.0,534.9042,534.9042,0.0,534.9042,534.9042,0.0,534.9042,534.9042,534.9042,534.9042,1119.96,1119.96,625.8821,1119.96,1119.96,625.8821,1119.96,1119.96,625.8821,1119.96,1119.96,625.8821,1119.96,1119.96,0.0
0.0,547.8831,0.0,547.8831,0.0,1096.9,0.0,1096.9,537.9284,537.9284,0.0,537.9284,537.9284,0.0,537.9284,537.9284,0.0,537.9284,537.9284,537.9284,537.9284,1126.89,1126.89,627.8982,1126.89,1126.89,627.8982,1126.89,1126.89,627.8982,1126.89,1126.89,627.8982,1126.89,1126.89,0.0
0.0,547.8831,0.0,547.8831,0.0,1096.9,0.0,1096.9,537.9284,537.9284,0.0,537.9284,537.9284,0.0,537.9284,537.9284,0.0,537.9284,537.9284,537.9284,537.9284,1126.89,1126.89,627.8982,1126.89,1126.89,627.8982,1126.89,1126.89,627.8982,1126.89,1126.89,627.8982,1126.89,1126.89,0.0
0.0,547.8831,0.0,547.8831,0.0,1095.892,0.0,1095.892,537.9284,537.9284,0.0,537.9284,537.9284,0.0,537.9284,537.9284,0.0,537.9284,537.9284,537.9284,537.9284,1125.882,1125.882,627.8982,1125.882,1125.882,627.8982,1125.882,1125.882,627.8982,1125.882,1125.882,627.8982,1125.882,1125.882,0.0
0.0,547.8831,0.0,547.8831,0.0,1096.9,0.0,1096.9,537.9284,537.9284,0.0,537.9284,537.9284,0.0,537.9284,537.9284,0.0,537.9284,537.9284,537.9284,537.9284,1126.89,1126.89,627.8982,1126.89,1126.89,627.8982,1126.89,1126.89,627.8982,1126.89,1126.89,627.8982,1126.89,1126.89,0.0
0.0,547.8831,0.0,547.8831,0.0,1096.9,0.0,1096.9,537.9284,537.9284,0.0,537.9284,537.9284,0.0,537.9284,537.9284,0.0,537.9284,537.9284,537.9284,537.9284,1126.89,1126.89,627.8982,1126.89,1126.89,627.8982,1126.89,1126.89,627.8982,1126.89,1126.89,627.8982,1126.89,1126.89,0.0
0.0,547.8831,0.0,547.8831,0.0,1096.9,0.0,1096.9,537.9284,537.9284,0.0,537.9284,537.9284,0.0,537.9284,537.9284,0.0,537.9284,537.9284,537.9284,537.9284,1126.89,1126.89,627.8982,1126.89,1126.89,627.8982,1126.89,1126.89,627.8982,1126.89,1126.89,627.8982,1126.89,1126.89,0.0
0.0,547.8831,0.0,547.8831,0.0,1095.892,0.0,1095.892,537.9284,537.9284,0.0,537.9284,537.9284,0.0,537.9284,537.9284,0.0,537.9284,537.9284,537.9284,537.9284,1125.0,1125.0,627.8982,1125.0,1125.0,627.8982,1125.0,1125.0,627.8982,1125.0,1125.0,627.8982,1125.0,1125.0,0.0
0.0,599.9244,0.0,599.9244,0.0,1199.975,0.0,1199.975,579.8891,579.8891,0.0,579.8891,579.8891,0.0,579.8891,579.8891,0.0,579.8891,579.8891,579.8891,579.8891,1384.955,1384.955,774.9496,1384.955,1384.955,774.9496,1384.955,1384.955,774.9496,1384.955,1384.955,774.9496,1384.955,1384.955,0.0
0.0,599.9244,0.0,599.9244,0.0,1200.983,0.0,1200.983,579.8891,579.8891,0.0,579.8891,579.8891,0.0,579.8891,579.8891,0.0,579.8891,579.8891,579.8891,579.8891,1385.963,1385.963,774.9496,1385.963,1385.963,774.9496,1385.963,1385.963,774.9496,1385.963,1385.963,774.9496,1385.963,1385.963,0.0
0.0,598.9163,0.0,598.9163,0.0,1198.967,0.0,1198.967,578.881,578.881,0.0,578.881,578.881,0.0,578.881,578.881,0.0,578.881,578.881,578.881,578.881,1383.947,1383.947,773.9415,1383.947,1383.947,773.9415,1383.947,1383.947,773.9415,1383.947,1383.947,773.9415,1383.947,1383.947,0.0
0.0,598.9163,0.0,598.9163,0.0,1198.967,0.0,1198.967,578.881,578.881,0.0,578.881,578.881,0.0,578.881,578.881,0.0,578.881,578.881,578.881,578.881,1383.947,1383.947,773.9415,1383.947,1383.947,773.9415,1383.947,1383.947,773.9415,1383.947,1383.947,773.9415,1383.947,1383.947,0.0
0.0,612.9032,0.0,612.9032,0.0,1226.941,0.0,1226.941,504.9143,504.9143,0.0,504.9143,504.9143,0.0,504.9143,504.9143,0.0,504.9143,504.9143,504.9143,504.9143,1290.953,1290.953,675.9072,1290.953,1290.953,675.9072,1290.953,1290.953,675.9072,1290.953,1290.953,675.9072,1290.953,1290.953,0.0
0.0,612.9032,0.0,612.9032,0.0,1226.941,0.0,1226.941,504.9143,504.9143,0.0,504.9143,504.9143,0.0,504.9143,504.9143,0.0,504.9143,504.9143,504.9143,504.9143,1290.953,1290.953,675.9072,1290.953,1290.953,675.9072,1290.953,1290.953,675.9072,1290.953,1290.953,675.9072,1290.953,1290.953,0.0
0.0,612.9032,0.0,612.9032,0.0,1225.932,0.0,1225.932,503.9063,503.9063,0.0,503.9063,503.9063,0.0,503.9063,503.9063,0.0,503.9063,503.9063,503.9063,503.9063,1289.945,1289.945,674.8992,1289.945,1289.945,674.8992,1289.945,1289.945,674.8992,1289.945,1289.945,674.8992,1289.945,1289.945,0.0
0.0,612.9032,0.0,612.9032,0.0,1225.932,0.0,1225.932,503.9063,503.9063,0.0,503.9063,503.9063,0.0,503.9063,503.9063,0.0,503.9063,503.9063,503.9063,503.9063,1289.945,1289.945,674.8992,1289.945,1289.945,674.8992,1289.945,1289.945,674.8992,1289.945,1289.945,674.8992,1289.945,1289.945,0.0
0.0,596.9002,0.0,596.9002,0.0,1194.934,0.0,1194.934,576.9909,576.9909,0.0,576.9909,576.9909,0.0,576.9909,576.9909,0.0,576.9909,576.9909,576.9909,576.9909,1378.906,1378.906,771.9254,1378.906,1378.906,771.9254,1378.906,1378.906,771.9254,1378.906,1378.906,771.9254,1378.906,1378.906,0.0
0.0,596.9002,0.0,596.9002,0.0,1194.934,0.0,1194.934,576.9909,576.9909,0.0,576.9909,576.9909,0.0,576.9909,576.9909,0.0,576.9909,576.9909,576.9909,576.9909,1378.906,1378.906,771.9254,1378.906,1378.906,771.9254,1378.906,1378.906,771.9254,1378.906,1378.906,771.9254,1378.906,1378.906,0.0
0.0,609.879,0.0,609.879,0.0,1220.892,0.0,1220.892,502.8982,502.8982,0.0,502.8982,502.8982,0.0,502.8982,502.8982,0.0,502.8982,502.8982,502.8982,502.8982,1284.904,1284.904,672.8831,1284.904,1284.904,672.8831,1284.904,1284.904,672.8831,1284.904,1284.904,672.8831,1284.904,1284.904,0.0
0.0,609.879,0.0,609.879,0.0,1219.884,0.0,1219.884,501.8901,501.8901,0.0,501.8901,501.8901,0.0,501.8901,501.8901,0.0,501.8901,501.8901,501.8901,501.8901,1283.896,1283.896,672.8831,1283.896,1283.896,672.8831,1283.896,1283.896,672.8831,1283.896,1283.896,672.8831,1283.896,1283.896,0.0
0.0,608.9969,0.0,608.9969,0.0,1217.994,0.0,1217.994,506.9305,506.9305,0.0,506.9305,506.9305,0.0,506.9305,506.9305,0.0,506.9305,506.9305,506.9305,506.9305,1292.969,1292.969,681.9556,1292.969,1292.969,681.9556,1292.969,1292.969,681.9556,1292.969,1292.969,681.9556,1292.969,1292.969,0.0
0.0,611.8951,0.0,611.8951,0.0,1223.916,0.0,1223.916,503.9063,503.9063,0.0,503.9063,503.9063,0.0,503.9063,503.9063,0.0,503.9063,503.9063,503.9063,503.9063,1287.928,1287.928,673.8911,1287.928,1287.928,673.8911,1287.928,1287.928,673.8911,1287.928,1287.928,673.8911,1287.928,1287.928,0.0
0.0,599.9244,0.0,599.9244,0.0,1199.975,0.0,1199.975,500.0,500.0,0.0,500.0,500.0,0.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,1279.99,1279.99,679.9395,1279.99,1279.99,679.9395,1279.99,1279.99,679.9395,1279.99,1279.99,679.9395,1279.99,1279.99,0.0
0.0,597.9083,0.0,597.9083,0.0,1195.943,0.0,1195.943,627.8982,627.8982,0.0,627.8982,627.8982,0.0,627.8982,627.8982,0.0,627.8982,627.8982,627.8982,627.8982,1345.892,1345.892,737.9032,1345.892,1345.892,737.9032,1345.892,1345.892,737.9032,1345.892,1345.892,737.9032,1345.892,1345.892,0.0
0.0,597.9083,0.0,597.9083,0.0,1196.951,0.0,1196.951,627.8982,627.8982,0.0,627.8982,627.8982,0.0,627.8982,627.8982,0.0,627.8982,627.8982,627.8982,627.8982,1346.9,1346.9,738.9113,1346.9,1346.9,738.9113,1346.9,1346.9,738.9113,1346.9,1346.9,738.9113,1346.9,1346.9,0.0
0.0,597.9083,0.0,597.9083,0.0,1195.943,0.0,1195.943,627.8982,627.8982,0.0,627.8982,627.8982,0.0,627.8982,627.8982,0.0,627.8982,627.8982,627.8982,627.8982,1345.892,1345.892,737.9032,1345.892,1345.892,737.9032,1345.892,1345.892,737.9032,1345.892,1345.892,737.9032,1345.892,1345.892,0.0
0.0,597.9083,0.0,597.9083,0.0,1195.943,0.0,1195.943,627.8982,627.8982,0.0,627.8982,627.8982,0.0,627.8982,627.8982,0.0,627.8982,627.8982,627.8982,627.8982,1345.892,1345.892,737.9032,1345.892,1345.892,737.9032,1345.892,1345.892,737.9032,1345.892,1345.892,737.9032,1345.892,1345.892,0.0
0.0,601.9405,0.0,601.9405,0.0,1203.881,0.0,1203.881,601.9405,601.9405,0.0,601.9405,601.9405,0.0,601.9405,601.9405,0.0,601.9405,601.9405,601.9405,601.9405,1379.914,1379.914,766.8851,1379.914,1379.914,766.8851,1379.914,1379.914,766.8851,1379.914,1379.914,766.8851,1379.914,1379.914,0.0
0.0,601.9405,0.0,601.9405,0.0,1204.889,0.0,1204.889,601.9405,601.9405,0.0,601.9405,601.9405,0.0,601.9405,601.9405,0.0,601.9405,601.9405,601.9405,601.9405,1380.922,1380.922,766.8851,1380.922,1380.922,766.8851,1380.922,1380.922,766.8851,1380.922,1380.922,766.8851,1380.922,1380.922,0.0
0.0,597.9083,0.0,597.9083,0.0,1196.951,0.0,1196.951,473.9163,473.9163,0.0,473.9163,473.9163,0.0,473.9163,473.9163,0.0,473.9163,473.9163,473.9163,473.9163,1321.951,1321.951,723.9163,1321.951,1321.951,723.9163,1321.951,1321.951,723.9163,1321.951,1321.951,723.9163,1321.951,1321.951,0.0
0.0,597.9083,0.0,597.9083,0.0,1196.951,0.0,1196.951,473.9163,473.9163,0.0,473.9163,473.9163,0.0,473.9163,473.9163,0.0,473.9163,473.9163,473.9163,473.9163,1321.951,1321.951,723.9163,1321.951,1321.951,723.9163,1321.951,1321.951,723.9163,1321.951,1321.951,723.9163,1321.951,1321.951,0.0
0.0,547.8831,0.0,547.8831,0.0,1095.892,0.0,1095.892,537.9284,537.9284,0.0,537.9284,537.9284,0.0,537.9284,537.9284,0.0,537.9284,537.9284,537.9284,537.9284,1125.0,1125.0,627.8982,1125.0,1125.0,627.8982,1125.0,1125.0,627.8982,1125.0,1125.0,627.8982,1125.0,1125.0,0.0
0.0,547.8831,0.0,547.8831,0.0,1095.892,0.0,1095.892,537.9284,537.9284,0.0,537.9284,537.9284,0.0,537.9284,537.9284,0.0,537.9284,537.9284,537.9284,537.9284,1125.0,1125.0,627.8982,1125.0,1125.0,627.8982,1125.0,1125.0,627.8982,1125.0,1125.0,627.8982,1125.0,1125.0,0.0
0.0,546.875,0.0,546.875,0.0,1094.884,0.0,1094.884,536.9203,536.9203,0.0,536.9203,536.9203,0.0,536.9203,536.9203,0.0,536.9203,536.9203,536.9203,536.9203,1125.0,1125.0,627.8982,1125.0,1125.0,627.8982,1125.0,1125.0,627.8982,1125.0,1125.0,627.8982,1125.0,1125.0,0.0
0.0,546.875,0.0,546.875,0.0,1094.884,0.0,1094.884,536.9203,536.9203,0.0,536.9203,536.9203,0.0,536.9203,536.9203,0.0,536.9203,536.9203,536.9203,536.9203,1125.0,1125.0,627.8982,1125.0,1125.0,627.8982,1125.0,1125.0,627.8982,1125.0,1125.0,627.8982,1125.0,1125.0,0.0
0.0,546.875,0.0,546.875,0.0,1094.884,0.0,1094.884,536.9203,536.9203,0.0,536.9203,536.9203,0.0,536.9203,536.9203,0.0,536.9203,536.9203,536.9203,536.9203,1125.0,1125.0,627.8982,1125.0,1125.0,627.8982,1125.0,1125.0,627.8982,1125.0,1125.0,627.8982,1125.0,1125.0,0.0
0.0,546.875,0.0,546.875,0.0,1094.884,0.0,1094.884,536.9203,536.9203,0.0,536.9203,536.9203,0.0,536.9203,536.9203,0.0,536.9203,536.9203,536.9203,536.9203,1125.0,1125.0,627.8982,1125.0,1125.0,627.8982,1125.0,1125.0,627.8982,1125.0,1125.0,627.8982,1125.0,1125.0,0.0
0.0,546.875,0.0,546.875,0.0,1094.884,0.0,1094.884,536.9203,536.9203,0.0,536.9203,536.9203,0.0,536.9203,536.9203,0.0,536.9203,536.9203,536.9203,536.9203,1125.0,1125.0,627.8982,1125.0,1125.0,627.8982,1125.0,1125.0,627.8982,1125.0,1125.0,627.8982,1125.0,1125.0,0.0
0.0,545.9929,0.0,545.9929,0.0,1092.994,0.0,1092.994,535.9123,535.9123,0.0,535.9123,535.9123,0.0,535.9123,535.9123,0.0,535.9123,535.9123,535.9123,535.9123,1122.984,1122.984,626.8901,1122.984,1122.984,626.8901,1122.984,1122.984,626.8901,1122.984,1122.984,626.8901,1122.984,1122.984,0.0
